"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"Tubb2b" 4.66520557599766 9.9578122759501 75.2306812509375 2.71480695362071e-53 4.33527522423692e-49 111.632405721959
"Tubb5" 2.13858616169983 11.06758848562 73.074045251521 1.15462171925327e-52 9.21907711737775e-49 110.226003435692
"Crmp1" 3.00744335817636 9.35429336869698 67.7217105836542 5.07001597263956e-51 2.69876950223604e-47 106.494821836273
"Tubb3" 2.09854978041099 10.5892301968833 62.359775439399 3.04224814511467e-49 9.71633212586724e-46 102.449664167303
"Opalin" -8.41684670329865 0.00777729353287938 -65.7949005496369 2.12633580710634e-50 8.48886412592028e-47 102.02775870072
"Cxadr" 3.02143845001096 7.23919525280862 59.1875634074229 4.04409861834031e-48 1.07633684727127e-44 99.8540420504385
"Mapt" 1.87019350991963 10.419478262874 58.9174251490928 5.07222898093123e-48 1.15712035137844e-44 99.6547852837351
"Zfp365" -2.94833629420253 7.13873490594575 -57.6401071824179 1.50100092034731e-47 2.99618546212827e-44 98.5623820056153
"Usp22" 1.46575186390763 8.99575789999382 57.4993905899083 1.69397818112141e-47 3.00568195270309e-44 98.4533544709289
"Dpysl3" 4.71022109444254 7.53439651052054 56.2412273463774 5.06032233506014e-47 8.08082873685754e-44 97.3163725566323
"Stmn2" 1.81691082095559 9.47886344111889 52.6377478944195 1.33244867194384e-45 1.77315607018926e-42 94.099736900875
"Cbx7" -3.42706966339524 3.51798613464865 -53.1561250776782 8.21527682259835e-46 1.19263414163703e-42 93.9761435523096
"Dbp" -2.94773681102056 5.57812387424351 -52.3024814343985 1.82622577538984e-45 2.24330764670772e-42 93.7460404475362
"Dcx" 4.84262753039988 7.91948795304802 52.1633410277102 2.08266942280082e-45 2.37558200090759e-42 93.6421928915715
"Fam212b" -2.15728714481403 6.47533687278778 -49.6425380566104 2.39163788223054e-44 2.54613768942263e-41 91.2143121208514
"Tppp" -2.99670245579613 6.17554512779755 -49.2621847310461 3.4924097266035e-44 3.48564318275821e-41 90.8326432499466
"Ybx1" 2.99579090385551 7.86487819649886 48.663271308187 6.37569481124824e-44 5.9890276729896e-41 90.2328229796782
"Faim2" -2.34287886307542 6.76654026924507 -48.5595999246842 7.08091255736995e-44 6.00256199568662e-41 90.1290370534699
"Csrp1" -3.28711154268527 6.04247352793274 -48.5511372688409 7.14187976191657e-44 6.00256199568662e-41 90.1171415995111
