"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"Penk" -2.00028987096499 4.808979799893 -16.6812357422872 4.01709791014445e-22 6.41490365270968e-18 39.9557534420883
"Plcxd3" -1.15619787195184 5.95606066739386 -15.0182358700432 3.30159354410124e-20 1.75743824352509e-16 35.7998526626393
"Ndst4" -3.33875864928194 2.64501192092405 -15.3234690057188 1.43558214521319e-20 1.14624056384547e-16 35.1674280587789
"Cabp7" 1.2272640768787 4.80295270358414 13.5395948157701 2.18572233713537e-18 8.72595000042869e-15 31.5864588238525
"Grem2" 0.74395314796695 5.77856817987347 12.9802949841304 1.14555187799504e-17 3.65866358794057e-14 30.0151911224995
"Galnt18" 0.669695087695758 6.1411165858724 12.844262033319 1.7242483410091e-17 4.26457740329336e-14 29.6039638084068
"Crtac1" 0.790623030033001 6.28771049629101 12.7307423410628 2.42985855249159e-17 4.85030140309227e-14 29.262791780401
"Htr5b" 1.60102844646306 2.56379691634058 12.8174702394676 1.86937452708708e-17 4.26457740329336e-14 28.964667606686
"Magi3" -0.44165288036839 6.88764930035635 -12.3236010381602 8.42970912176291e-17 1.34614024965432e-13 28.0161770485185
"Rgs12" -0.570269571082531 6.86474696618051 -12.1797659677372 1.31486421584585e-16 1.90882424207658e-13 27.5754032764006
"Rfx3" -1.24783615312619 5.29573877236146 -12.0800753625963 1.79215046063825e-16 2.38490422549435e-13 27.2982108463891
"Filip1" -1.22265446314397 4.71904996702899 -11.9985908131981 2.31057304010354e-16 2.83827237518565e-13 27.0471914231709
"Slc24a1" -1.81626686131767 1.22082171598883 -12.3258386360183 8.37178821979935e-17 1.34614024965432e-13 26.6499162939991
"Snx8" -0.680537922569891 5.60276762902859 -11.8611363136373 3.55387321730402e-16 4.05370010050913e-13 26.6142500559989
"Hpcal1" -1.08496696526129 6.02588172246296 -11.6909154558795 6.07748526106543e-16 6.39352736696996e-13 26.0674676692148
"Rgs14" -0.841272415180433 5.5831486562361 -11.6223077508276 7.55270055968256e-16 7.09465148456299e-13 25.8676945115165
"Slc5a7" -1.61456039736244 2.31306505225931 -11.6742807714289 6.40593887353744e-16 6.39352736696996e-13 25.4276264191818
"Unc5d" -1.19679516256699 5.82191682018957 -11.3977351109887 1.54478804524775e-15 1.37048446080896e-12 25.1587619457209
"Btbd3" -0.911092259048706 6.12833055785323 -11.2852644870357 2.21596934427919e-15 1.86246391888391e-12 24.7798374360022
"Palmd" -0.555222466529874 4.82748261805124 -11.2377126910498 2.58240715881778e-15 2.06192299595805e-12 24.6667597518653
"Ephb6" 1.01680909925985 7.08843286582476 11.1661656793161 3.25281251405356e-15 2.47353157318672e-12 24.3810234498121
"Kcnn1" 0.741067633116792 4.44667807974548 11.1275565693249 3.68524632587654e-15 2.67498629899647e-12 24.3194523962534
"Pwwp2b" 0.829626454617343 3.98929851134577 11.0912544918716 4.1448622980324e-15 2.87779591466432e-12 24.1952332782878
"Ndst3" -1.11138555851956 3.75672616026919 -10.8564009370889 8.90198300800266e-15 5.46752948672286e-12 23.4296900018827
"Gcnt2" -1.15760753208042 2.7068335386361 -10.9134246714594 7.3892862511904e-15 4.71998048581038e-12 23.3977091376648
"Sema7a" 0.817639518543365 6.22040304263845 10.7439353592904 1.28686301776437e-14 7.61107982617747e-12 23.0261351448216
"Zdhhc14" -0.496172361207861 5.66867146990074 -10.7299777957202 1.3472334999318e-14 7.68356134300388e-12 22.9948912808215
"Ptpro" -0.938118408584389 7.48482807216798 -10.7131615347277 1.42378835864862e-14 7.84016424112408e-12 22.9133079017572
"Rasa3" 0.753725600673463 6.77866727978673 10.6543737716269 1.72773159827484e-14 9.19671529761699e-12 22.7203882621653
"Cd300e" 2.26512870546319 -2.28775722308516 11.0613319486042 4.56707649337407e-15 3.03881852177877e-12 22.5491671822662
"Kcnn2" 0.499124205162077 4.14585937924495 10.3622295872735 4.54805118166345e-14 2.26961966624949e-11 21.8490564084364
"Efnb3" -0.515091324715328 7.10669763681068 -10.3474948525965 4.77690951902485e-14 2.3115899427063e-11 21.7129359213644
"Klhdc8b" -0.405633711957997 5.38367848254189 -10.2914974087957 5.75813773355087e-14 2.70446180785511e-11 21.5650147049885
"Syt17" -1.00472011241567 5.82315936845604 -10.2142667560647 7.45509379969304e-14 3.40143979677995e-11 21.2925271849478
"Pomc" 1.38373562307225 1.450239655525 10.4047365964605 3.94803320260045e-14 2.03374652297828e-11 21.2698306210084
"Lrrn1" -0.579794072118546 6.18009220090733 -10.200547238951 7.80570800172841e-14 3.46248197443336e-11 21.2317120251538
"Tmie" -0.868209139312361 3.50049490190106 -9.98310502859202 1.62201128327497e-13 6.8162889954258e-11 20.5831131568302
"LRRTM1" -0.438763942452968 6.2716669592724 -9.95949578217203 1.75666555202393e-13 7.19286979494107e-11 20.4168310171789
"Shisa8" 1.92163859461229 2.2889528565199 9.88943872148777 2.22654397301733e-13 8.88892017627843e-11 20.0133228102815
"Trpc5" 0.827098845988224 5.83195107689346 9.82194407257783 2.79926002842101e-13 1.09027764375257e-10 19.9867870758786
"Olfm4" -1.41267757087432 1.07615196920056 -10.0487174331966 1.30001760300864e-13 5.6108057033635e-11 19.9488983776123
"Hcn1" 0.564756964327951 5.46667791058716 9.69957783959027 4.24479334849006e-13 1.6139310710009e-10 19.5821871348944
"Cntnap5c" 0.850476724218604 5.32362100728561 9.66536557781853 4.77026803812193e-13 1.77154442559928e-10 19.4836314904319
"Prkg2" -0.831193261380806 4.27486019973908 -9.58446344714861 6.28969231273613e-13 2.23200214537963e-10 19.2618475961117
"Sertm1" 0.965745827743742 7.58859936327755 9.61320068531628 5.70081373792203e-13 2.06900669501993e-10 19.2320414423839
"Ppfibp1" -0.561106704122307 6.72636675389056 -9.5617098539277 6.79924968596087e-13 2.36037430945889e-10 19.0590468239099
"Pcp4" 0.918459075839565 7.07875010427139 9.52784897547759 7.63579021884647e-13 2.59438157456935e-10 18.9502073703193
