"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"Sstr2" -2.23063341502277 4.14617208748657 -20.82025319519 2.35680993249474e-26 2.35729371469938e-22 49.829293674666
"Tle4" -1.56976086965353 6.87204308696002 -20.7164631889767 2.95233729688694e-26 2.35729371469938e-22 49.592872280618
"Slc12a4" 1.11884565557318 4.70808123203809 19.9475509571804 1.61192737585835e-25 8.58028942169398e-22 47.9500255145665
"Rassf2" 1.00804432197513 5.90694821322291 19.3916860272554 5.67846069691085e-25 2.26698347172423e-21 46.6463902670362
"Lcat" 2.30537011135411 3.2427027592957 18.9259118682917 1.66668471870543e-24 5.3230576546014e-21 45.5400942009699
"Grik3" -2.31824327007393 5.7499971749123 -18.8110367464789 2.18037162464984e-24 5.80305907900555e-21 45.3466085531644
"Vim" 2.36549131390777 7.21978604322381 17.9468739682035 1.71337545800449e-23 3.34208635986567e-20 43.2033529271066
"Nxph3" -3.46939769483195 4.59223738889185 -17.7418712852137 2.82437506206318e-23 4.51024453660869e-20 42.8152636823125
"Myh2" -2.78857316105207 1.31425029448417 -17.9078976845409 1.88357300011216e-23 3.34208635986567e-20 42.6089256867662
"Lrrtm2" -1.23382598471512 6.53135617304716 -17.6907461700073 3.20142077450377e-23 4.64758984982279e-20 42.5686577532891
"Ipcef1" -1.61066384496626 4.77757065142069 -17.6307306013481 3.70999405154945e-23 4.93707458409944e-20 42.5227261558013
"Upk1b" 4.61586810958346 -1.24906450433357 17.9265545202179 1.80005813439898e-23 3.34208635986567e-20 42.4340611261066
"Fezf2" -3.46018915448748 3.7385005787918 -17.310077205684 8.20698576935022e-23 1.00813350577503e-19 41.6967435840731
"Timp3" 1.51061735387233 5.81815371832821 17.230562157818 1.00092437113711e-22 1.14169723447775e-19 41.4503625761687
"Sema3e" -1.85468537439767 4.82940723089401 -17.0787540712202 1.46487442915074e-22 1.37603410347695e-19 41.1500086293349
"Rab26" -1.44889457128549 5.54884780825073 -17.0918931987284 1.41724044396881e-22 1.37603410347695e-19 41.1374886863007
"Msln" 4.93325176050068 0.639869539157757 17.1982455384422 1.08523434658418e-22 1.15534048537352e-19 40.9906541077883
"Igfbp2" 2.43140518105981 6.64111950287269 16.9050879599123 2.27145497121022e-22 2.015159135292e-19 40.6444671176266
"Mmp17" -1.36708609903179 4.84717931719798 -16.6698109799122 4.1363009432606e-22 3.47645209278571e-19 40.0980503837875
"Myh3" -3.21597626076807 2.69196670061131 -16.479015511141 6.75467167291597e-22 5.13644533070453e-19 39.4942445552957
"Slc15a5" -4.16793034512563 -0.714533321124784 -16.6309398971157 4.56947969407882e-22 3.64850106173723e-19 39.3988561749245
"Aebp1" 2.90163235764617 4.96859002267334 16.3878336319987 8.55067438911915e-22 5.9367704052106e-19 39.3937071525652
"RGD1561849" -1.30349625952818 7.21729312453256 -16.4256579142413 7.75311709279893e-22 5.6277057661321e-19 39.3536407489824
"Sema3c" -2.22332084299857 6.10844833079623 -16.2018841297927 1.38690189661182e-21 9.22809849458092e-19 38.818238798918
"Bhmt" -4.27936616960185 0.790249809741302 -16.1800101383029 1.46846308237545e-21 9.37995478498144e-19 38.5149470271549
"Mxra8" 1.47520696571241 3.99182086548054 16.0082264960098 2.30442907204118e-21 1.41536260967021e-18 38.4314676010904
"Mmp14" 1.90361459772375 4.78299972498481 15.9311919922865 2.8234977484872e-21 1.66994205724415e-18 38.2312969054215
"Sulf1" -3.07616422117671 4.48267126799675 -15.8106349737065 3.88541174401791e-21 2.06820467134073e-18 37.9247019916919
"Slc38a3" 0.798809977459598 6.81884672524912 15.8340345750514 3.65148996390735e-21 2.06820467134073e-18 37.784232614558
"Slc2a1" 0.717768151146107 6.18129280362528 15.8213401981624 3.77656052538322e-21 2.06820467134073e-18 37.7726425321135
"Svil" 1.66500991330702 5.3696750925541 15.7694556343588 4.33470528808251e-21 2.23293254017386e-18 37.703781986211
"Cplx3" -3.41019740493881 3.26572655405341 -15.685750108824 5.41771614925595e-21 2.70360966210839e-18 37.5818719680537
"Kcna6" -1.0475482032891 6.53172645664807 -15.6324608736205 6.24680768218621e-21 3.02288702657065e-18 37.2592590059295
"Bmp7" 2.60771016982048 3.58588426004033 15.4115662961532 1.13112447435803e-20 5.01747964750648e-18 36.8658819250002
"Insrr" 3.85718954044846 -0.166262590793514 15.585680228892 7.08048195688832e-21 3.32553577557499e-18 36.8473587205412
"Slc35f1" -0.84887423771488 7.08529332348736 -15.4824001496571 9.34459037205582e-21 4.26353610432455e-18 36.8404543615464
"Tagln2" 1.33227613901662 4.66709169553703 15.2209103776983 1.89684095197032e-20 8.18666301676054e-18 36.2784917663829
"Ddr2" 2.08555610439953 4.11128096336493 15.0365990818024 3.13927615741753e-20 1.26284439768387e-17 35.8311437759744
"Myl9" 1.69149687504479 4.45991995076596 15.0338281755933 3.16323977126652e-20 1.26284439768387e-17 35.7806189653437
"Prokr1" -4.67204474564741 -0.0742782221261564 -15.0708248062856 2.85804373698644e-20 1.20105527462991e-17 35.6078401808617
"Net1" 1.7683154097098 5.53524219616971 14.9700247337124 3.76952742998415e-20 1.46818496413212e-17 35.5082748221632
